"Date of Download: 2024-03-12_14:52:00"
"Search Parameters: Data Level:all  Trait List:  Trial List:12761  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 4|COMP:0000369","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","139257","CG1141-1","","plot","7794507","202326BCPRC_saha_rep1_CG1141-1_4","1","1","4","1","4","check","","5.9","15","2.2","1.5","0","2","29.3301842282633","39.9","240","33.974358974359","18.55","1","5","1","1","55","13.8","10","20","1","240","10","6","3","1","2","2","120","4820","369","0","20","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","139268","CM4919-1","","plot","7794494","202326BCPRC_saha_rep1_CM4919-1_2","1","1","2","1","2","check","","1.2","2.4","2.3","1","0","2","33.5832452558251","33.4","230","36.7216117216117","20.05","1","5","1","1","51","16.7","10","20","1","230","40","6","3","1","1","2","89","4620","457","0","20","1","3","1","4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","139299","COL2215","","plot","7794483","202326BCPRC_saha_rep1_COL2215_8","1","1","8","2","5","check","","6.4","13.7","1.1","0.6","3","2","36.6492003876908","40.2","80","16.1172161172161","8.8","1","1","2","1","19","6.4","8","20","3","160","5","6","3","1","3","2","59","4660","533","0","20","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","2250627","GM11319-3","","plot","7794491","202326BCPRC_saha_rep1_GM11319-3_14","1","1","14","3","2","test","","2.4","3.6","19.5","10.6","4","2","30.0343494085532","39.4","120","14.6520146520147","8","1","5","1","1","25","6.9","10","20","2","280","5","5","1","1","3","2","43","4780","384","1","19","1","3","1","6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","2250636","GM11365-2","","plot","7794513","202326BCPRC_saha_rep1_GM11365-2_18","1","1","18","3","6","test","","0.7","1.1","15.5","8.6","4","1","31.7919454329775","34.6","60","16.3003663003663","8.9","1","5","1","1","21","8.15","8","20","3","230","5","6","3","1","2","2","33","4630","415","0","19","1","3","1","6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","2477998","GM11781-1","","plot","7794467","202326BCPRC_saha_rep1_GM11781-1_5","1","1","5","1","5","test","","0.7","1.4","16.4","10.2","0","1","27.6389195148842","30","360","9.15750915750916","5","1","5","1","1","16","3.75","10","20","2","360","40","4","3","1","3","2","32","3890","262","0","15","1","3","1","7"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","323717","GM3426-5","","plot","7794496","202326BCPRC_saha_rep1_GM3426-5_7","1","1","7","2","6","check","","4.1","8.4","10.4","3.9","3","2","31.165910818343","36.7","120","12.4542124542125","6.8","1","5","2","1","10","3.4","10","20","2","258","5","6","3","2","3","3","45","4320","373","0","20","2","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","2169322","GM4486-11","","plot","7794479","202326BCPRC_saha_rep1_GM4486-11_15","1","1","15","3","3","test","","","","16.6","10.5","1","2","31.1767950963222","37.9","140","11.8131868131868","6.45","1","5","3","2","26","4.7","10","20","4","300","20","6","3","1","3","2","51","5000","432","0","20","1","3","1","8"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","323773","SM3536-44","","plot","7794512","202326BCPRC_saha_rep1_SM3536-44_12","1","1","12","2","1","check","","1.1","1.2","10.3","5","3","2","29.0696966413868","32.8","100","15.3846153846154","8.4","1","4","1","1","35","6.4","8","20","2","290","5","6","3","1","3","2","61","4990","375","0","20","2","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12761","202326BCPRC_saha","202326BCPRC_saha","RCBD","5.2","3.5","","no","no","2023-May-31","2024-February-21","61","Sahagun. Cordoba, Colombia","2170553","SM4569-17","","plot","7794506","202326BCPRC_saha_rep1_SM4569-17_3","1","1","3","1","3","test","","0","0","16","9.1","3","2","28.7468402314196","27.9","95","18.6813186813187","10.2","1","5","2","1","25","7.15","10","20","3","295","5","6","3","2","3","2","63","4850","356","0","20","2","3","1","6"," (Operator: lizbethpino, Time: )"
