"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","lodging1_3_4mon","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_CG1141-1_1",1,1,1,1,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,2.3,1.9,0,1,38.6960317460317,39.3,160,22.1230158730159,11.15,1,NA,4,1,NA,15,6.4,10,20,3,160,40,5,3,2,3,2,NA,2950,367,28,19,1,3,1,1,NA,6,95,22.1230158730159,8.56072924540186
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_CG1141-1_25",1,25,7,1,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,0,1,37.9174091441969,NA,140,25,12.6,1,NA,5,1,NA,15,6.6,8,20,2,140,40,6,3,1,2,1,NA,4850,585,37,20,1,2,1,1,NA,6,100,25,9.47935228604923
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_CM4919-1_24",1,24,6,1,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",3.3,4.4,3.8,2.1,0,1,38.1076100628931,38.3,160,26.6865079365079,13.45,1,NA,5,1,NA,15,8.9,6,20,2,160,50,6,3,1,2,3,NA,4525,550,16,20,1,3,1,4,NA,6,100,26.6865079365079,10.1695903838475
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_COL2215_22",1,22,6,3,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,5,1,37.0808239010266,NA,80,29.0674603174603,14.65,1,NA,5,1,NA,14,9.9,6,20,3,340,20,6,3,1,1,3,NA,4300,501,23,20,2,3,2,1,NA,6,100,29.0674603174603,10.7784537728182
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_COL2215_8",1,8,2,1,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,4,1,40.2093705293276,NA,70,23.4126984126984,11.8,1,NA,5,1,NA,10,6.2,8,20,3,160,5,5,3,2,3,3,NA,4025,530,22,18,1,3,1,1,NA,6,90,23.4126984126984,9.4140986556759
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_GM10299-1_34",1,34,9,2,"test"," (Operator: lizbethpino, Time: )","GM10299-1","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",1.6,2.5,16.2,12.2,2,1,27.7008250825082,31.3,120,29.0674603174603,14.65,1,NA,5,1,NA,12,7.1,12,20,4,330,40,4,3,1,1,1,NA,4875,330,33,12,3,3,1,8,NA,6,60,29.0674603174603,8.05192633846716
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_GM11213-2_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","GM11213-2","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,15.5,9.1,1,1,35.2785797438882,37.1,110,14.6825396825397,7.4,1,NA,5,1,NA,7,4.5,10,20,1,290,40,2,3,2,3,2,NA,3850,414,13,9,1,1,1,6,NA,6,45,14.6825396825397,5.1797914703328
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_GM11319-3_4",1,4,1,4,"test"," (Operator: lizbethpino, Time: )","GM11319-3","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",3.3,5.5,19.9,10.6,0,1,33.0482115792664,38.1,240,22.8174603174603,11.5,1,NA,4,1,NA,13,6,8,20,2,240,40,6,2,1,2,2,NA,3650,351,30,18,2,3,3,6,NA,6,90,22.8174603174603,7.54076256272943
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_GM11365-2_6",1,6,2,3,"test"," (Operator: lizbethpino, Time: )","GM11365-2","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",2.5,3.3,13.6,6.9,3,1,30.6502366552722,33,80,25.0992063492064,12.65,1,NA,5,1,NA,16,7,6,20,3,320,40,6,3,1,2,1,NA,4150,347,29,20,1,3,1,8,NA,6,100,25.0992063492063,7.69296614462687
2022,"202224BCEAR_cere","202224BCEAR_cere",4.8,3.5,"2022-June-03","2023-April-10","Cerete. Cordoba, Colombia",NA,"202224BCEAR_cere_rep1_GM11365-3_17",1,17,5,1,"test"," (Operator: lizbethpino, Time: )","GM11365-3","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",0.9,1.2,12.6,7.8,3,1,34.066228748068,31.2,100,13.8888888888889,7,1,NA,3,1,NA,14,5.3,6,20,2,290,30,3,3,1,2,2,NA,3600,365,14,15,1,3,2,8,NA,6,75,13.8888888888889,4.73142065945389
